video_name,video_height,rel_distance,mos,ci,std
AVT-Faces_lighting1__V4-0012_1000k_1080_hevc,1080p,3.2H,3.9130434782608696,0.2996355693402999,0.7331776095289766
water_netflix_8s_1000k_1080_hevc,1080p,3.2H,2.347826086956522,0.2645311652921498,0.6472807211834833
water_netflix_8s_400k_720_hevc,720p,3.2H,1.6956521739130437,0.2594920149261134,0.6349504353380415
BunnyAnimation_15000k_2160_hevc,2160p,3.2H,4.173913043478261,0.292951407256004,0.716822148161496
AVT-Faces_lighting1__V4-0005_7000k_1080_hevc,1080p,3.2H,4.260869565217392,0.2210241719983482,0.540823555863717
cutting_orange_tuil_8s_400k_720_hevc,720p,3.2H,3.260869565217391,0.3741035616265172,0.91539317456032
DialogMeridian_1000k_1080_hevc,1080p,3.2H,3.695652173913044,0.357869574873036,0.8756702684071968
water_netflix_8s_3500k_2160_hevc,2160p,3.2H,3.4347826086956523,0.3219391096403633,0.7877520927828721
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_15000k_2160_hevc,2160p,3.2H,4.521739130434782,0.3229627659903412,0.7902568752334616
DialogMeridian_3500k_2160_hevc,2160p,3.2H,4.217391304347826,0.3007351531064963,0.7358681786057778
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_1080_hevc,1080p,3.2H,3.5217391304347827,0.3229627659903413,0.7902568752334617
BunnyAnimation_3500k_2160_hevc,2160p,3.2H,3.9130434782608696,0.2996355693402999,0.7331776095289765
AVT-Faces_lighting1__V4-0005_15000k_2160_hevc,2160p,3.2H,4.565217391304348,0.2410267520608135,0.5897678246195885
water_netflix_8s_15000k_2160_hevc,2160p,3.2H,4.130434782608695,0.2556474762443548,0.6255432421712243
BunnyAnimation_1000k_720_hevc,720p,3.2H,3.5217391304347827,0.3871121844158058,0.9472239447886796
BunnyAnimation_100k_360_hevc,360p,3.2H,1.2608695652173914,0.1834885634180156,0.4489777585448796
AVT-Faces_lighting1__V4-0012_3500k_1080_hevc,1080p,3.2H,4.260869565217392,0.3072500280139945,0.7518094115561123
cutting_orange_tuil_8s_3500k_2160_hevc,2160p,3.2H,4.173913043478261,0.265776024710516,0.6503267649311159
BunnyAnimation_7000k_2160_hevc,2160p,3.2H,4.173913043478261,0.3408633016591398,0.8340576562282992
water_netflix_8s_100k_360_hevc,360p,3.2H,1.2608695652173914,0.1834885634180156,0.4489777585448796
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_3500k_2160_hevc,2160p,3.2H,3.0,0.3018307310631075,0.7385489458759964
