user_ID,stimuli_ID,stimuli_file,rating_type,rating,timestamp,rel_distance,abs_distance,stimulus,codec,crf,resolution,short_src
12,14,['..\\4k_viewing_distance\\cpvs_hevc\\ReadySetGoJockeyConcat_8s_0-8000.avi_2160p_crf22_hevc.mkv'],acr,5,2024-10-14 16:43:26 220016,3.2,120,ReadySetGoJockeyConcat_8s_0-8000.avi_2160p_crf22_hevc,hevc,22,2160p,Jockey
12,15,['..\\4k_viewing_distance\\cpvs_hevc\\Chimera-EP09_8s_24000-32000.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-14 16:43:40 431844,3.2,120,Chimera-EP09_8s_24000-32000.avi_720p_crf30_hevc,hevc,30,720p,Chimera
12,16,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_360p_crf22_hevc.mkv'],acr,2,2024-10-14 16:43:52 321302,3.2,120,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_360p_crf22_hevc,hevc,22,360p,Debris
12,17,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_2160p_crf38_hevc.mkv'],acr,3,2024-10-14 16:44:05 470522,3.2,120,american_football_harmonic_8s_2160p_crf38_hevc,hevc,38,2160p,Football
12,18,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_720p_crf30_hevc.mkv'],acr,3,2024-10-14 16:44:28 869565,3.2,120,venice_harmonic_2_cropped_8s_720p_crf30_hevc,hevc,30,720p,Venice
12,19,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_720p_crf22_hevc.mkv'],acr,3,2024-10-14 16:44:40 336041,3.2,120,ElFuente_8s_224000-231750.avi_720p_crf22_hevc,hevc,22,720p,ElFuente
12,20,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_2160p_crf38_hevc.mkv'],acr,4,2024-10-14 16:44:54 419253,3.2,120,venice_harmonic_2_cropped_8s_2160p_crf38_hevc,hevc,38,2160p,Venice
12,21,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_1080p_crf22_hevc.mkv'],acr,5,2024-10-14 16:45:09 603270,3.2,120,monkeys_harmonic_0_cropped_8s_1080p_crf22_hevc,hevc,22,1080p,Monkeys
12,22,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_360p_crf30_hevc.mkv'],acr,1,2024-10-14 16:45:26 669213,3.2,120,ElFuente_8s_224000-231750.avi_360p_crf30_hevc,hevc,30,360p,ElFuente
12,23,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0032_1080p_crf30_hevc.mkv'],acr,5,2024-10-14 16:45:42 202775,3.2,120,AVT-Faces_lightingLoop__V8-0032_1080p_crf30_hevc,hevc,30,1080p,Faces_32
12,24,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0032_1080p_crf38_hevc.mkv'],acr,3,2024-10-14 16:46:01 935387,3.2,120,AVT-Faces_lightingLoop__V8-0032_1080p_crf38_hevc,hevc,38,1080p,Faces_32
12,25,['..\\4k_viewing_distance\\cpvs_hevc\\Chimera-EP09_8s_24000-32000.avi_720p_crf38_hevc.mkv'],acr,1,2024-10-14 16:46:13 322256,3.2,120,Chimera-EP09_8s_24000-32000.avi_720p_crf38_hevc,hevc,38,720p,Chimera
12,26,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_2160p_crf22_hevc.mkv'],acr,5,2024-10-14 16:46:27 334985,3.2,120,Reading_Stairs_ds_2160p_crf22_hevc,hevc,22,2160p,Reading_Stairs
12,27,['..\\4k_viewing_distance\\cpvs_hevc\\CSGO_8s_23000-31000.avi_1080p_crf38_hevc.mkv'],acr,3,2024-10-14 16:46:49 472601,3.2,120,CSGO_8s_23000-31000.avi_1080p_crf38_hevc,hevc,38,1080p,CS_GO
12,28,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0032_2160p_crf30_hevc.mkv'],acr,5,2024-10-14 16:47:05 412028,3.2,120,AVT-Faces_lightingLoop__V8-0032_2160p_crf30_hevc,hevc,30,2160p,Faces_32
12,29,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_360p_crf38_hevc.mkv'],acr,2,2024-10-14 16:47:20 311484,3.2,120,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_360p_crf38_hevc,hevc,38,360p,Debris
12,30,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_360p_crf30_hevc.mkv'],acr,2,2024-10-14 16:47:37 635915,3.2,120,american_football_harmonic_8s_360p_crf30_hevc,hevc,30,360p,Football
12,31,['..\\4k_viewing_distance\\cpvs_hevc\\CSGO_8s_23000-31000.avi_1080p_crf22_hevc.mkv'],acr,4,2024-10-14 16:47:50 060566,3.2,120,CSGO_8s_23000-31000.avi_1080p_crf22_hevc,hevc,22,1080p,CS_GO
12,32,['..\\4k_viewing_distance\\cpvs_hevc\\Sparks_8s_107000-115000.avi_2160p_crf30_hevc.mkv'],acr,5,2024-10-14 16:48:04 084754,3.2,120,Sparks_8s_107000-115000.avi_2160p_crf30_hevc,hevc,30,2160p,Sparks
12,33,['..\\4k_viewing_distance\\cpvs_hevc\\AVT-Faces_lightingLoop__V8-0019_2160p_crf30_hevc.mkv'],acr,4,2024-10-14 16:48:18 890599,3.2,120,AVT-Faces_lightingLoop__V8-0019_2160p_crf30_hevc,hevc,30,2160p,Faces_19
12,34,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_1080p_crf30_hevc.mkv'],acr,3,2024-10-14 16:48:32 235445,3.2,120,ElFuente_8s_224000-231750.avi_1080p_crf30_hevc,hevc,30,1080p,ElFuente
12,35,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_360p_crf30_hevc.mkv'],acr,2,2024-10-14 16:48:45 534936,3.2,120,Rocket-2_8s_90000-98000.avi_360p_crf30_hevc,hevc,30,360p,Rocket_League
12,36,['..\\4k_viewing_distance\\cpvs_hevc\\ElFuente_8s_224000-231750.avi_2160p_crf22_hevc.mkv'],acr,5,2024-10-14 16:48:57 368757,3.2,120,ElFuente_8s_224000-231750.avi_2160p_crf22_hevc,hevc,22,2160p,ElFuente
12,37,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_1080p_crf30_hevc.mkv'],acr,4,2024-10-14 16:49:09 909252,3.2,120,monkeys_harmonic_0_cropped_8s_1080p_crf30_hevc,hevc,30,1080p,Monkeys
12,38,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_2160p_crf22_hevc.mkv'],acr,5,2024-10-14 16:49:20 834097,3.2,120,american_football_harmonic_8s_2160p_crf22_hevc,hevc,22,2160p,Football
12,39,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2160p_crf38_hevc.mkv'],acr,5,2024-10-14 16:49:33 553480,3.2,120,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_2160p_crf38_hevc,hevc,38,2160p,Debris
12,40,['..\\4k_viewing_distance\\cpvs_hevc\\Reading_Stairs_ds_720p_crf38_hevc.mkv'],acr,1,2024-10-14 16:49:51 059018,3.2,120,Reading_Stairs_ds_720p_crf38_hevc,hevc,38,720p,Reading_Stairs
12,41,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_360p_crf38_hevc.mkv'],acr,1,2024-10-14 16:50:04 450674,3.2,120,DialogMeridian_360p_crf38_hevc,hevc,38,360p,Meridian
12,42,['..\\4k_viewing_distance\\cpvs_hevc\\ReadySetGoJockeyConcat_8s_0-8000.avi_1080p_crf22_hevc.mkv'],acr,5,2024-10-14 16:50:19 499810,3.2,120,ReadySetGoJockeyConcat_8s_0-8000.avi_1080p_crf22_hevc,hevc,22,1080p,Jockey
12,43,['..\\4k_viewing_distance\\cpvs_hevc\\ReadySetGoJockeyConcat_8s_0-8000.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-14 16:50:31 767159,3.2,120,ReadySetGoJockeyConcat_8s_0-8000.avi_720p_crf30_hevc,hevc,30,720p,Jockey
12,44,['..\\4k_viewing_distance\\cpvs_hevc\\fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1080p_crf38_hevc.mkv'],acr,3,2024-10-14 16:50:45 919818,3.2,120,fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s_1080p_crf38_hevc,hevc,38,1080p,Debris
12,45,['..\\4k_viewing_distance\\cpvs_hevc\\Rocket-2_8s_90000-98000.avi_360p_crf38_hevc.mkv'],acr,2,2024-10-14 16:51:00 117996,3.2,120,Rocket-2_8s_90000-98000.avi_360p_crf38_hevc,hevc,38,360p,Rocket_League
12,46,['..\\4k_viewing_distance\\cpvs_hevc\\monkeys_harmonic_0_cropped_8s_360p_crf30_hevc.mkv'],acr,1,2024-10-14 16:51:11 183717,3.2,120,monkeys_harmonic_0_cropped_8s_360p_crf30_hevc,hevc,30,360p,Monkeys
12,47,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_720p_crf22_hevc.mkv'],acr,5,2024-10-14 16:51:26 933614,3.2,120,DialogMeridian_720p_crf22_hevc,hevc,22,720p,Meridian
13,0,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_1080p_crf30_hevc.mkv'],acr,5,2024-10-15 09:14:55 422752,3.2,120,venice_harmonic_2_cropped_8s_1080p_crf30_hevc,hevc,30,1080p,Venice
13,1,['..\\4k_viewing_distance\\cpvs_hevc\\DialogMeridian_1080p_crf38_hevc.mkv'],acr,2,2024-10-15 09:15:08 152214,3.2,120,DialogMeridian_1080p_crf38_hevc,hevc,38,1080p,Meridian
13,2,['..\\4k_viewing_distance\\cpvs_hevc\\american_football_harmonic_8s_360p_crf30_hevc.mkv'],acr,2,2024-10-15 09:15:18 772443,3.2,120,american_football_harmonic_8s_360p_crf30_hevc,hevc,30,360p,Football
13,3,['..\\4k_viewing_distance\\cpvs_hevc\\ReadySetGoJockeyConcat_8s_0-8000.avi_720p_crf30_hevc.mkv'],acr,3,2024-10-15 09:15:30 322739,3.2,120,ReadySetGoJockeyConcat_8s_0-8000.avi_720p_crf30_hevc,hevc,30,720p,Jockey
13,4,['..\\4k_viewing_distance\\cpvs_hevc\\venice_harmonic_2_cropped_8s_1080p_crf38_hevc.mkv'],acr,2,2024-10-15 09:15:42 236432,3.2,120,venice_harmonic_2_cropped_8s_1080p_crf38_hevc,hevc,38,1080p,Venice
